date,MINTEMP,MAXTEMP,HUMIDITY,OT,fact
2012-07-17 06:00:00,27,33.0,65,90,"Cloudy, hot weather with scattered showers; south wind level 2-3; temperature 27-33°C; relative humidity 65%-90%."
2012-07-17 11:00:00,29,33.0,65,85,Cloudy with occasional showers; southerly wind of 2-3 levels; temperature 29-33°C; relative humidity 65%-85%.
2012-07-17 16:00:00,27,33.0,65,90,"Cloudy, hot weather with short-term showers; temperature 27-33°C, above 35°C in central and northern areas and densely populated areas; south wind level 2-3; relative humidity 65%-90%."
2012-07-18 06:00:00,26,31.0,65,95,"In the morning, the rain tended to slow down, mainly cloudy with intermittent showers; the temperature is 26-31°C; southerly turning to southeasterly wind of 2-3 levels, with gusts of 4 levels; the relative humidity is 65%-95%."
2012-07-18 11:00:00,26,31.0,65,95,"It is cloudy with short-term showers at times; the temperature is 26-31°C; the south wind is at 2-3 levels, with gusts of 4 levels; the relative humidity is 65%-95%."
2012-07-18 16:00:00,26,32.0,65,95,"It is cloudy with short-term showers or thunderstorms occasionally; the temperature is 26-32°C; the south wind is 2-3 levels, with gusts up to 4 levels; the relative humidity is 65%-95%."
2012-07-19 06:00:00,28,33.0,65,95,"It's cloudy and very hot to extremely hot; the temperature is 28-33°C, and it can reach 35°C in the northern and densely populated areas; southerly wind of 2-3 levels, gusts of 4 levels; the relative humidity is 65%-95%."
2012-07-19 11:00:00,30,34.0,60,85,"It's cloudy and the weather is hot; the temperature is 30-34°C, and it can reach 35°C or above in the northern and densely populated areas; the south wind is 2-3 levels, and the gust is 4 levels; the relative humidity is 60%-85%."
2012-07-19 16:00:00,28,34.0,55,85,"It's cloudy, the weather is extremely hot, and there are thunderstorms in some areas in the afternoon; the temperature is 28-34°C, 35-36°C in the central and northern areas and densely populated areas; the east wind is grade 2-3; the relative humidity is 55%-85%."
2012-07-20 06:00:00,28,34.0,50,85,"Cloudy, with hot weather and accompanied by thunderstorms; temperature 28-34°C, 35-36°C in the central and northern areas and densely populated areas; easterly wind of 2-3 levels; relative humidity 50%-85%."
